Source,Target,Number of samples,Correlation,Method,ROI,Image index
sub01,sub02,6000,0.008046503410796232,brain_loss,HVC,46.0
sub01,sub02,6000,0.012094321881237689,brain_loss,HVC,47.0
sub01,sub02,6000,0.028787592390122987,brain_loss,HVC,48.0
sub01,sub02,6000,0.014098525202006443,brain_loss,HVC,49.0
sub01,sub02,6000,0.018596976266709402,brain_loss,HVC,50.0
sub02,sub01,6000,0.006105560201690572,brain_loss,VC,1.0
sub02,sub01,6000,0.009973435914130448,brain_loss,VC,2.0
sub02,sub01,6000,0.016045816447990968,brain_loss,VC,3.0
sub02,sub01,6000,0.015198134968913075,brain_loss,VC,4.0
sub02,sub01,6000,0.009631723630621982,brain_loss,VC,5.0
sub02,sub01,6000,0.014391568099262302,brain_loss,VC,6.0
sub02,sub01,6000,0.006161906061703665,brain_loss,VC,7.0
sub02,sub01,6000,0.005555528520606447,brain_loss,VC,8.0
sub02,sub01,6000,0.017870762697446037,brain_loss,VC,9.0
sub02,sub01,6000,-0.0026680081227614325,brain_loss,VC,10.0
sub02,sub01,6000,0.0050411179678286865,brain_loss,VC,11.0
sub02,sub01,6000,-0.0016348206721264285,brain_loss,VC,12.0
sub02,sub01,6000,0.005394012343103674,brain_loss,VC,13.0
sub02,sub01,6000,0.01871829620133575,brain_loss,VC,14.0
sub02,sub01,6000,0.021046630205563424,brain_loss,VC,15.0
sub02,sub01,6000,0.05159944513773013,brain_loss,VC,16.0
sub02,sub01,6000,0.015470095748426782,brain_loss,VC,17.0
sub02,sub01,6000,0.01854992649144323,brain_loss,VC,18.0
sub02,sub01,6000,0.010962070968943558,brain_loss,VC,19.0
sub02,sub01,6000,0.009017048884683472,brain_loss,VC,20.0
sub02,sub01,6000,0.016479940091186456,brain_loss,VC,21.0
sub02,sub01,6000,0.030257026225254353,brain_loss,VC,22.0
sub02,sub01,6000,0.0072131110562966404,brain_loss,VC,23.0
sub02,sub01,6000,0.008150327594899844,brain_loss,VC,24.0
sub02,sub01,6000,0.011940043555031692,brain_loss,VC,25.0
sub02,sub01,6000,0.010774949605836553,brain_loss,VC,26.0
sub02,sub01,6000,0.012195191357188169,brain_loss,VC,27.0
sub02,sub01,6000,0.0253496288762859,brain_loss,VC,28.0
sub02,sub01,6000,-0.004469356525285726,brain_loss,VC,29.0
sub02,sub01,6000,0.015913932499680993,brain_loss,VC,30.0
