Source,Target,Number of samples,Profile correlation,Pattern correlation,Identification accuracy,Method,ROI,Layer
sub02,sub05,6000,0.1973241676105515,0.20928799270350534,0.979591836734694,content_loss,VC,conv3_2
sub02,sub05,6000,0.17704966290528826,0.18910210213386194,0.9265306122448979,content_loss,VC,conv3_1
sub02,sub05,6000,0.09954128697894805,0.11277916395306739,0.8922448979591837,content_loss,VC,conv2_2
sub02,sub05,6000,0.1738700897541767,0.19225367346839392,0.880408163265306,content_loss,VC,conv2_1
sub02,sub05,6000,0.16942102067787523,0.19825443143734148,0.7861224489795917,content_loss,VC,conv1_2
sub02,sub05,6000,0.20316172023484141,0.2308582985073304,0.8077551020408162,content_loss,VC,conv1_1
sub03,sub01,6000,0.5179187252042438,0.5268774228018349,0.9546938775510203,content_loss,VC,fc8
sub03,sub01,6000,0.358314300309367,0.37072001560606366,0.9775510204081631,content_loss,VC,fc7
sub03,sub01,6000,0.3850491190680516,0.3796364198175464,0.9742857142857143,content_loss,VC,fc6
sub03,sub01,6000,0.32322719422126966,0.28586328935011,0.9824489795918367,content_loss,VC,conv5_4
sub03,sub01,6000,0.3318645621491787,0.3277717518359292,0.9951020408163265,content_loss,VC,conv5_3
sub03,sub01,6000,0.3362234570994677,0.3410823522571148,0.9959183673469388,content_loss,VC,conv5_2
sub03,sub01,6000,0.3271933953664366,0.3348362265171643,0.9983673469387756,content_loss,VC,conv5_1
sub03,sub01,6000,0.2572890146268749,0.25075040641953883,0.9963265306122449,content_loss,VC,conv4_4
sub03,sub01,6000,0.2542221143719277,0.26475889373952766,0.9979591836734695,content_loss,VC,conv4_3
sub03,sub01,6000,0.28742340533744287,0.3081932006819443,0.9942857142857143,content_loss,VC,conv4_2
sub03,sub01,6000,0.30845968342756536,0.3275951129818316,0.9955102040816327,content_loss,VC,conv4_1
sub03,sub01,6000,0.23614564875219632,0.24783329311531774,0.973469387755102,content_loss,VC,conv3_4
sub03,sub01,6000,0.2596018662785547,0.2617640166309464,0.9779591836734695,content_loss,VC,conv3_3
sub03,sub01,6000,0.20549095352876323,0.21954836313375206,0.9853061224489795,content_loss,VC,conv3_2
sub03,sub01,6000,0.18221225792072188,0.1987072724147886,0.9383673469387755,content_loss,VC,conv3_1
sub03,sub01,6000,0.10181741144655726,0.11814786632368335,0.8951020408163265,content_loss,VC,conv2_2
sub03,sub01,6000,0.1718238686342642,0.18883647038416895,0.8832653061224489,content_loss,VC,conv2_1
sub03,sub01,6000,0.15279668613962752,0.17899924871840955,0.7669387755102042,content_loss,VC,conv1_2
sub03,sub01,6000,0.18055329635209272,0.210111604154635,0.7889795918367346,content_loss,VC,conv1_1
sub03,sub02,6000,0.5158273639123921,0.5221456972163057,0.9542857142857143,content_loss,VC,fc8
sub03,sub02,6000,0.3541042093969293,0.36468724635883576,0.9738775510204083,content_loss,VC,fc7
sub03,sub02,6000,0.38266870255791446,0.3760041986212644,0.9751020408163265,content_loss,VC,fc6
sub03,sub02,6000,0.31827854944825923,0.2818006387247761,0.9804081632653062,content_loss,VC,conv5_4
sub03,sub02,6000,0.32897017722717287,0.32462115825027593,0.9946938775510205,content_loss,VC,conv5_3
sub03,sub02,6000,0.33230421150666184,0.3359996605260454,0.9942857142857144,content_loss,VC,conv5_2
sub03,sub02,6000,0.32410875364750946,0.33066798518797336,0.9971428571428572,content_loss,VC,conv5_1
sub03,sub02,6000,0.25571315001230505,0.24788018930041558,0.9959183673469387,content_loss,VC,conv4_4
sub03,sub02,6000,0.251011801739835,0.26025634691270416,0.9983673469387756,content_loss,VC,conv4_3
sub03,sub02,6000,0.2840153160994322,0.3034360570643404,0.9946938775510205,content_loss,VC,conv4_2
sub03,sub02,6000,0.30628372148545724,0.3238312077068967,0.9955102040816327,content_loss,VC,conv4_1
sub03,sub02,6000,0.23563941307522135,0.24536199245639026,0.9759183673469387,content_loss,VC,conv3_4
sub03,sub02,6000,0.2593332874348954,0.26018572834421777,0.9791836734693878,content_loss,VC,conv3_3
sub03,sub02,6000,0.20534657021098027,0.2172354284850046,0.98734693877551,content_loss,VC,conv3_2
sub03,sub02,6000,0.1827837953641692,0.19707309779705187,0.9346938775510203,content_loss,VC,conv3_1
sub03,sub02,6000,0.10146295214471131,0.11530736706344907,0.8995918367346938,content_loss,VC,conv2_2
sub03,sub02,6000,0.17140514153285813,0.1862674218160948,0.8848979591836735,content_loss,VC,conv2_1
sub03,sub02,6000,0.15049542298834634,0.17358935708415468,0.7644897959183674,content_loss,VC,conv1_2
sub03,sub02,6000,0.179346995495774,0.20583543964751608,0.7812244897959184,content_loss,VC,conv1_1
sub03,sub04,6000,0.5209806687125185,0.5264444193167844,0.9518367346938775,content_loss,VC,fc8
sub03,sub04,6000,0.3656994633916053,0.3734354627509394,0.9791836734693878,content_loss,VC,fc7
sub03,sub04,6000,0.38875211543606286,0.38067714078230724,0.9734693877551021,content_loss,VC,fc6
sub03,sub04,6000,0.3235308516920919,0.2816264820485371,0.9861224489795917,content_loss,VC,conv5_4
sub03,sub04,6000,0.3301166748657474,0.32383904356872667,0.9946938775510205,content_loss,VC,conv5_3
sub03,sub04,6000,0.3344573791731936,0.33718554339796486,0.9946938775510205,content_loss,VC,conv5_2
sub03,sub04,6000,0.3258317049548066,0.33071582394426846,0.9987755102040816,content_loss,VC,conv5_1
sub03,sub04,6000,0.2595419123387859,0.25015280219688885,0.9967346938775509,content_loss,VC,conv4_4
sub03,sub04,6000,0.2546227226606159,0.26321923246957896,0.9987755102040816,content_loss,VC,conv4_3
sub03,sub04,6000,0.28818893618912994,0.30704816404729907,0.9951020408163265,content_loss,VC,conv4_2
sub03,sub04,6000,0.3093299289707999,0.3267077653520632,0.9959183673469388,content_loss,VC,conv4_1
